大众 途观 2010款 2.0TSI 自动四驱菁英版,2011年,6.5万公里,苏州,9.18万 ,30.59万
雪佛兰 乐风 2010款 1.6AT格调版,2010年,10.0万公里,苏州,2.28万 ,11.06万
雪佛兰 科鲁兹 2012款 1.8L SE AT,2012年,4.9万公里,苏州,3.90万 ,14.86万
起亚 智跑 2011款 2.0L 自动两驱版GLS,2011年,9.6万公里,苏州,6.10万 ,20.93万
奔腾B50 2011款 1.6L 手动时尚型,2011年,9.1万公里,苏州,1.70万 ,10.18万
福特 蒙迪欧 2013款 2.0L GTDi200时尚型,2015年,8.8万公里,苏州,10.38万 ,22.01万
大众 朗逸 2011款 1.6L 手动品悠版,2012年,6.5万公里,苏州,4.30万 ,12.24万
别克 君越 2013款 2.4L SIDI领先舒适型,2015年,4.5万公里,苏州,10.98万 ,25.61万
宝马3系 2010款 320i 时尚型,2010年,9.3万公里,苏州,7.53万 ,37.12万
奔驰C级 2010款 C 200K 时尚型,2010年,13.0万公里,苏州,7.80万 ,42.88万
猎豹CS10 2017款 2.0T 自动豪华型,2016年,8.6万公里,苏州,4.98万 ,14.09万
起亚K2 2017款 三厢 1.4L MT 15周年特别版GLS,2017年,2.0万公里,苏州,5.11万 ,8.46万
本田 飞度 2018款 1.5L CVT舒适天窗版,2018年,3.5万公里,苏州,7.88万 ,9.31万
奔驰GLK级 2014款 GLK 260 4MATIC 动感型,2014年,8.9万公里,苏州,20.60万 ,43.20万
雪佛兰 科鲁兹 2013款 1.6L SE MT,2013年,14.9万公里,苏州,2.98万 ,13.01万
丰田 卡罗拉 2014款 1.6L CVT GL-i,2016年,3.6万公里,苏州,8.38万 ,13.87万
东南 V3菱悦 2009款 1.5L 手动旗舰升级版,2010年,11.6万公里,苏州,1.58万 ,7.79万
福特 蒙迪欧-致胜 2011款 2.3L 豪华型,2012年,10.9万公里,苏州,4.40万 ,21.14万
日产 骐达 2016款 1.6L CVT智行版,2018年,5.5万公里,苏州,9.50万 ,13.34万
别克 君威 2014款 1.6T 时尚技术型,2014年,8.7万公里,苏州,7.80万 ,21.70万
本田 思域 2009款 1.8L 自动经典版,2011年,10.5万公里,苏州,4.60万 ,14.96万
大众 速腾 2018款 280TSI DSG豪华型,2018年,4.2万公里,苏州,12.30万 ,18.32万
奥迪A5 2010款 2.0TFSI Sportback 舒适型(进口),2010年,15.3万公里,苏州,12.80万 ,53.61万
本田 飞度 2018款 1.5L 手动舒适版,2018年,8.7万公里,苏州,6.28万 ,8.01万
大众 速腾 2014款 1.6L 自动舒适型,2014年,8.8万公里,苏州,7.58万 ,16.37万
奔驰GLK级 2013款 GLK 300 4MATIC 动感天窗型,2014年,10.5万公里,苏州,18.68万 ,47.54万
